alcohol_id,ingredient_id,label
5016,3839,1
5016,3840,1
5016,1794,1
5016,3860,1
5016,5919,1
5016,5929,1
5016,1845,1
5016,3899,1
5016,1855,1
5016,5956,1
5016,5959,1
5016,5960,1
5016,5967,1
5016,3920,1
5016,1895,1
5016,5999,1
5016,6004,1
5016,6032,1
5016,6035,1
5016,6051,1
5016,4013,1
5016,6062,1
5016,4021,1
5016,6079,1
5016,6083,1
5016,6086,1
5016,6091,1
5016,4045,1
5016,4052,1
5016,4076,1
5016,6131,1
5016,4084,1
5016,6140,1
6763,4096,1
6763,6159,1
6763,4123,1
6763,6172,1
6763,4129,1
6763,4132,1
6763,38,1
6763,50,1
6763,4150,1
6763,57,1
6763,58,1
6763,4153,1
6763,6204,1
6763,61,1
6763,6212,1
6763,71,1
6763,4172,1
6763,77,1
6763,86,1
6763,88,1
6763,4204,1
6763,114,1
6763,2164,1
6763,4213,1
6763,2167,1
6763,6266,1
6763,135,1
6763,2188,1
6763,145,1
6763,4243,1
6763,148,1
6763,2200,1
6763,2202,1
6763,6299,1
6763,6300,1
6763,158,1
6763,6303,1
6763,2210,1
6763,4264,1
6763,2223,1
6763,175,1
6763,6326,1
6763,4279,1
6763,2239,1
6763,196,1
6763,4292,1
6763,197,1
6763,6349,1
6763,213,1
6763,4309,1
6763,223,1
6763,6367,1
6763,4319,1
6763,6371,1
6763,4324,1
6763,4323,1
6763,4330,1
6763,4343,1
6763,4350,1
6763,2310,1
6763,6409,1
6763,2320,1
6763,273,1
6763,2331,1
6763,6434,1
6763,6441,1
6763,300,1
6763,302,1
6763,2364,1
6763,321,1
6763,328,1
6763,6475,1
6763,6476,1
6763,6477,1
6763,6478,1
6763,4438,1
6763,345,1
6763,2396,1
6763,4444,1
6763,361,1
6763,6507,1
6763,4460,1
6763,6508,1
6763,4469,1
6763,4478,1
6763,4494,1
6763,6545,1
6763,6547,1
6763,421,1
6763,429,1
6763,4527,1
6763,4545,1
6763,453,1
6763,4572,1
6763,4575,1
6763,483,1
6763,485,1
6763,6631,1
6763,4588,1
6763,4600,1
6763,504,1
6763,518,1
6763,4615,1
6763,4620,1
6763,4625,1
6763,537,1
6763,4635,1
6763,547,1
6763,556,1
6763,4653,1
6763,4659,1
6763,6709,1
6763,4663,1
6763,4687,1
6763,4701,1
6763,6749,1
6763,6756,1
6763,4716,1
6763,6766,1
6763,4724,1
6763,6773,1
6763,6775,1
6763,4733,1
6763,6782,1
6763,6787,1
6763,6788,1
6763,6791,1
6763,4744,1
6763,656,1
6763,6803,1
6763,667,1
6763,668,1
6763,4763,1
6763,4768,1
6763,6821,1
6763,4776,1
6763,682,1
6763,685,1
6763,709,1
6763,2757,1
6763,2761,1
6763,4809,1
6763,2764,1
6763,4821,1
6763,2774,1
6763,2793,1
6763,4846,1
6763,754,1
6763,762,1
6763,770,1
6763,2821,1
6763,4875,1
6763,779,1
6763,781,1
6763,4885,1
6763,4891,1
6763,805,1
6763,814,1
6763,823,1
6763,4928,1
6763,838,1
6763,2890,1
6763,4948,1
6763,854,1
6763,4958,1
6763,4961,1
6763,2914,1
6763,7013,1
6763,4966,1
6763,7020,1
6763,7021,1
6763,885,1
6763,7029,1
